"","x","y"
"1401",1401,-42
"1402",1402,-44
"1403",1403,-42
"1404",1404,-46
"1405",1405,-44
"1406",1406,-44
"1407",1407,-51
"1408",1408,-49
"1409",1409,-49
"1410",1410,-49
"1411",1411,-46
"1412",1412,-46
"1413",1413,-54
"1414",1414,-54
"1415",1415,-49
"1416",1416,-51
"1417",1417,-49
"1418",1418,-46
"1419",1419,-42
"1420",1420,-39
"1421",1421,-42
"1422",1422,-37
"1423",1423,-27
"1424",1424,-24
"1425",1425,-27
"1426",1426,-22
"1427",1427,-24
"1428",1428,-29
"1429",1429,-34
"1430",1430,-32
"1431",1431,-17
"1432",1432,-12
"1433",1433,-5
"1434",1434,0
"1435",1435,2
"1436",1436,0
"1437",1437,-2
"1438",1438,-5
"1439",1439,-5
"1440",1440,-5
"1441",1441,-2
"1442",1442,-5
"1443",1443,-2
"1444",1444,-5
"1445",1445,0
"1446",1446,-51
"1447",1447,-156
"1448",1448,-127
"1449",1449,283
"1450",1450,1018
"1451",1451,1155
"1452",1452,618
"1453",1453,208
"1454",1454,73
"1455",1455,24
"1456",1456,-42
"1457",1457,-61
"1458",1458,-73
"1459",1459,-76
"1460",1460,-71
"1461",1461,-66
"1462",1462,-68
"1463",1463,-66
"1464",1464,-66
"1465",1465,-66
"1466",1466,-61
"1467",1467,-61
"1468",1468,-63
"1469",1469,-61
"1470",1470,-66
"1471",1471,-71
"1472",1472,-73
"1473",1473,-68
"1474",1474,-61
"1475",1475,-61
"1476",1476,-63
"1477",1477,-61
"1478",1478,-61
"1479",1479,-59
"1480",1480,-56
"1481",1481,-49
"1482",1482,-49
"1483",1483,-39
"1484",1484,-24
"1485",1485,-10
"1486",1486,5
"1487",1487,17
"1488",1488,37
"1489",1489,56
"1490",1490,71
"1491",1491,78
"1492",1492,63
"1493",1493,44
"1494",1494,24
"1495",1495,5
"1496",1496,-10
"1497",1497,-22
"1498",1498,-29
"1499",1499,-34
"1500",1500,-37
"1501",1501,-39
"1502",1502,-39
"1503",1503,-44
"1504",1504,-51
"1505",1505,-54
"1506",1506,-61
"1507",1507,-59
"1508",1508,-56
"1509",1509,-54
"1510",1510,-49
"1511",1511,-54
"1512",1512,-49
"1513",1513,-49
"1514",1514,-54
"1515",1515,-51
"1516",1516,-56
"1517",1517,-59
"1518",1518,-59
"1519",1519,-66
"1520",1520,-61
"1521",1521,-66
"1522",1522,-68
"1523",1523,-71
"1524",1524,-73
"1525",1525,-76
"1526",1526,-71
"1527",1527,-66
"1528",1528,-66
"1529",1529,-71
"1530",1530,-68
"1531",1531,-71
"1532",1532,-71
"1533",1533,-71
