x,y
0.4475893,0.4453809
0.4522793,0.4405473
0.4616593,0.3607938
0.4675218,0.3438764
0.4745568,0.3535435
0.4815918,0.3607938
0.4956618,0.3535435
0.4874543,0.358377
0.5015242,0.3462931
0.5073867,0.3535435
0.5144217,0.3535435
0.5226292,0.3680441
0.5343542,0.3414596
0.5437342,0.5879706
0.5472517,0.5323848
0.5554592,0.326959
0.5613217,0.326959
0.5765642,0.3535435
0.5284917,0.3970454
0.5824267,0.3777112
0.5882892,0.4212132
0.5671842,0.3317925
0.4487618,0.4429641
0.4534518,0.4139628
0.4616593,0.3607938
0.4675218,0.3487099
0.4745568,0.3535435
0.4804193,0.3607938
0.4886268,0.358377
0.4944893,0.3511267
0.5015242,0.3487099
0.5073867,0.3559602
0.5144217,0.3487099
0.5273192,0.3728777
0.5249742,0.380128
0.5437342,0.5710532
0.5460792,0.5855538
0.5613217,0.326959
0.5531142,0.3293757
0.5671842,0.3342093
0.5343542,0.3462931
0.5882892,0.4284635
0.5824267,0.380128
0.5918067,0.4429641
0.4522793,0.4260467
0.4628318,0.3607938
0.4675218,0.3438764
0.4733843,0.3511267
0.4815918,0.358377
0.4874543,0.3607938
0.4944893,0.3462931
0.5003517,0.3511267
0.5144217,0.3559602
0.5073867,0.3511267
0.5226292,0.3825448
0.5273192,0.3946286
0.5413892,0.4671319
0.5343542,0.3390428
0.5484242,0.5468854
0.5613217,0.3245422
0.5531142,0.326959
0.5683567,0.3342093
0.5824267,0.380128
0.5882892,0.4236299
0.5742192,0.3487099
0.5941517,0.4477977
0.4475893,0.4381306
0.4546243,0.4163796
0.4616593,0.3607938
0.4698668,0.3438764
0.4769018,0.3559602
0.4815918,0.3607938
0.4874543,0.3607938
0.4944893,0.3535435
0.5003517,0.3438764
0.5085592,0.3462931
0.5226292,0.3825448
0.5144217,0.3535435
0.5296642,0.380128
0.5331817,0.3438764
0.5425617,0.5227177
0.5472517,0.4792157
0.5589767,0.326959
0.5542867,0.3293757
0.5671842,0.3317925
0.5730467,0.3462931
0.5824267,0.3825448
0.5871167,0.4236299
0.4475893,0.4381306
0.4546243,0.4212132
0.4604868,0.3607938
0.4686943,0.3438764
0.4757293,0.3535435
0.4827643,0.3607938
0.4886268,0.358377
0.4944893,0.3511267
0.5085592,0.3511267
0.5003517,0.3462931
0.5238017,0.3752944
0.5132492,0.3535435
0.5343542,0.3390428
0.5413892,0.5227177
0.5284917,0.401879
0.5613217,0.3245422
0.5472517,0.4985499
0.5554592,0.326959
0.5882892,0.4212132
0.5765642,0.3438764
0.5929792,0.4453809
0.5671842,0.3342093
