"","x","y"
"1451",1451,1155
"1452",1452,618
"1453",1453,208
"1454",1454,73
"1455",1455,24
"1456",1456,-42
"1457",1457,-61
"1458",1458,-73
"1459",1459,-76
"1460",1460,-71
"1461",1461,-66
"1462",1462,-68
"1463",1463,-66
"1464",1464,-66
"1465",1465,-66
"1466",1466,-61
"1467",1467,-61
"1468",1468,-63
"1469",1469,-61
"1470",1470,-66
"1471",1471,-71
"1472",1472,-73
"1473",1473,-68
"1474",1474,-61
"1475",1475,-61
"1476",1476,-63
"1477",1477,-61
"1478",1478,-61
"1479",1479,-59
"1480",1480,-56
"1481",1481,-49
"1482",1482,-49
"1483",1483,-39
"1484",1484,-24
"1485",1485,-10
"1486",1486,5
"1487",1487,17
"1488",1488,37
"1489",1489,56
"1490",1490,71
"1491",1491,78
"1492",1492,63
"1493",1493,44
"1494",1494,24
"1495",1495,5
"1496",1496,-10
"1497",1497,-22
"1498",1498,-29
"1499",1499,-34
"1500",1500,-37
"1501",1501,-39
"1502",1502,-39
"1503",1503,-44
"1504",1504,-51
"1505",1505,-54
"1506",1506,-61
"1507",1507,-59
"1508",1508,-56
"1509",1509,-54
"1510",1510,-49
"1511",1511,-54
"1512",1512,-49
"1513",1513,-49
"1514",1514,-54
"1515",1515,-51
"1516",1516,-56
"1517",1517,-59
"1518",1518,-59
"1519",1519,-66
"1520",1520,-61
"1521",1521,-66
"1522",1522,-68
"1523",1523,-71
"1524",1524,-73
"1525",1525,-76
"1526",1526,-71
"1527",1527,-66
"1528",1528,-66
"1529",1529,-71
"1530",1530,-68
"1531",1531,-71
"1532",1532,-71
"1533",1533,-71
"1534",1534,-73
"1535",1535,-66
"1536",1536,-66
"1537",1537,-66
"1538",1538,-63
"1539",1539,-66
"1540",1540,-66
"1541",1541,-71
"1542",1542,-68
"1543",1543,-63
"1544",1544,-61
"1545",1545,-63
"1546",1546,-66
"1547",1547,-66
"1548",1548,-61
"1549",1549,-61
"1550",1550,-56
"1551",1551,-54
"1552",1552,-54
"1553",1553,-61
"1554",1554,-61
"1555",1555,-63
"1556",1556,-66
"1557",1557,-66
"1558",1558,-68
"1559",1559,-68
"1560",1560,-68
"1561",1561,-78
"1562",1562,-76
"1563",1563,-76
"1564",1564,-61
"1565",1565,-44
"1566",1566,-39
"1567",1567,-34
"1568",1568,-34
"1569",1569,-46
"1570",1570,-49
"1571",1571,-44
"1572",1572,-54
"1573",1573,-56
"1574",1574,-54
"1575",1575,-54
"1576",1576,-56
"1577",1577,-51
"1578",1578,-66
"1579",1579,-154
"1580",1580,-205
"1581",1581,20
"1582",1582,679
"1583",1583,1243
